"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MMotivosOTDerivada.tsx", "TypeScript JSX", 0, 131, 0, 0, 6, 28, 165
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MMotivosOTGarantia.tsx", "TypeScript JSX", 0, 129, 0, 0, 6, 26, 161
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MMotivosOTPendiente.tsx", "TypeScript JSX", 0, 128, 0, 0, 6, 24, 158
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MMuestrarios.tsx", "TypeScript JSX", 0, 145, 0, 0, 7, 20, 172
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MMuestrariosArmazones.tsx", "TypeScript JSX", 0, 199, 0, 0, 11, 26, 236
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MOT.tsx", "TypeScript JSX", 0, 282, 0, 0, 45, 82, 409
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MOTBitacora.tsx", "TypeScript JSX", 0, 173, 0, 0, 38, 23, 234
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MOTHistorica.tsx", "TypeScript JSX", 0, 450, 0, 0, 184, 138, 772
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MOftalmologos.tsx", "TypeScript JSX", 0, 140, 0, 0, 7, 19, 166
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MPerfiles.tsx", "TypeScript JSX", 0, 152, 0, 0, 8, 19, 179
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MPermisos.tsx", "TypeScript JSX", 0, 151, 0, 0, 7, 19, 177
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProveedores.tsx", "TypeScript JSX", 0, 140, 0, 0, 7, 21, 168
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectos.tsx", "TypeScript JSX", 0, 211, 0, 0, 7, 32, 250
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosAccesorios.tsx", "TypeScript JSX", 0, 167, 0, 0, 8, 27, 202
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosAtenciones.tsx", "TypeScript JSX", 0, 0, 0, 0, 163, 19, 182
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosCristales.tsx", "TypeScript JSX", 0, 190, 0, 0, 8, 30, 228
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosDestinos.tsx", "TypeScript JSX", 0, 155, 0, 0, 28, 27, 210
